SPC16CD,SPC16NM,OBJECTID
S16000074,Aberdeen Central,0
S16000075,Aberdeen Donside,1
S16000076,Aberdeen South and North Kincardine,2
S16000077,Aberdeenshire East,3
S16000078,Aberdeenshire West,4
S16000079,Airdrie and Shotts,5
S16000080,Almond Valley,6
S16000081,Angus North and Mearns,7
S16000082,Angus South,8
S16000083,Argyll and Bute,9
S16000084,Ayr,10
S16000085,Banffshire and Buchan Coast,11
S16000086,"Caithness, Sutherland and Ross",12
S16000087,"Carrick, Cumnock and Doon Valley",13
S16000088,Clackmannanshire and Dunblane,14
S16000089,Clydebank and Milngavie,15
S16000090,Clydesdale,16
S16000091,Coatbridge and Chryston,17
S16000092,Cowdenbeath,18
S16000093,Cumbernauld and Kilsyth,19
S16000094,Cunninghame North,20
S16000095,Cunninghame South,21
S16000096,Dumbarton,22
S16000097,Dumfriesshire,23
S16000098,Dundee City East,24
S16000099,Dundee City West,25
S16000100,Dunfermline,26
S16000101,East Kilbride,27
S16000102,East Lothian,28
S16000103,Eastwood,29
S16000104,Edinburgh Central,30
S16000105,Edinburgh Eastern,31
S16000106,Edinburgh Northern and Leith,32
S16000107,Edinburgh Pentlands,33
S16000108,Edinburgh Southern,34
S16000109,Edinburgh Western,35
S16000110,Na h-Eileanan an Iar,36
S16000111,"Ettrick, Roxburgh and Berwickshire",37
S16000112,Falkirk East,38
S16000113,Falkirk West,39
S16000114,Galloway and West Dumfries,40
S16000115,Glasgow Anniesland,41
S16000116,Glasgow Cathcart,42
S16000117,Glasgow Kelvin,43
S16000118,Glasgow Maryhill and Springburn,44
S16000119,Glasgow Pollok,45
S16000121,Glasgow Shettleston,46
S16000122,Glasgow Southside,47
S16000123,Greenock and Inverclyde,48
S16000124,"Hamilton, Larkhall and Stonehouse",49
S16000125,Inverness and Nairn,50
S16000126,Kilmarnock and Irvine Valley,51
S16000127,Kirkcaldy,52
S16000128,Linlithgow,53
S16000129,Mid Fife and Glenrothes,54
S16000130,Midlothian North and Musselburgh,55
S16000131,"Midlothian South, Tweeddale and Lauderdale",56
S16000132,Moray,57
S16000133,Motherwell and Wishaw,58
S16000134,North East Fife,59
S16000135,Orkney Islands,60
S16000136,Paisley,61
S16000137,Perthshire North,62
S16000138,Perthshire South and Kinross-shire,63
S16000139,Renfrewshire North and West,64
S16000140,Renfrewshire South,65
S16000141,Rutherglen,66
S16000142,Shetland Islands,67
S16000143,"Skye, Lochaber and Badenoch",68
S16000144,Stirling,69
S16000146,Uddingston and Bellshill,70
S16000147,Glasgow Provan,71
S16000148,Strathkelvin and Bearsden,72
